Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyHours,MonthlyWorkingHours,Salary_per_hour
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2,No,11,3,3,0,8,2,3,4,2,1,3,8,176,16.818181818181817
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,4,No,11,3,4,1,26,3,2,14,13,4,8,8,176,108.48863636363636
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,1,Yes,22,4,2,0,10,5,3,10,2,6,7,10,220,17.813636363636363
42,No,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,0,No,11,3,4,1,10,2,3,9,7,4,2,8,176,38.77840909090909
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,3,No,14,3,4,1,24,4,3,22,6,5,17,8,176,58.22727272727273
46,No,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,3,No,12,3,4,0,22,2,2,2,2,2,1,8,176,107.6534090909091
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,4,No,11,3,4,0,7,3,3,1,1,0,0,8,176,14.181818181818182
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,2,Yes,13,3,4,0,9,5,4,4,2,1,3,10,220,29.386363636363637
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,1,No,13,3,1,0,10,5,3,10,0,1,8,8,176,12.534090909090908
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,3,No,14,3,3,1,19,6,4,1,0,0,0,8,176,11.852272727272727
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2,Yes,16,3,1,1,6,2,2,2,0,2,0,10,220,10.422727272727272
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,1,No,12,3,4,2,6,3,2,5,3,1,4,8,176,15.028409090909092
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,1,Yes,14,3,3,0,3,2,3,3,2,0,2,10,220,12.195454545454545
35,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,1,No,13,3,1,0,2,3,3,2,2,2,2,8,176,11.443181818181818
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,9,Yes,14,3,4,1,6,3,4,1,1,0,0,10,220,15.540909090909091
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,2,No,19,3,1,2,10,3,3,5,3,1,3,8,176,30.545454545454547
35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1,No,12,3,3,1,1,3,3,1,0,0,0,8,176,11.085227272727273
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,1,No,13,3,4,1,1,6,3,1,0,0,0,8,176,13.301136363636363
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,1,No,12,3,3,0,1,2,2,1,0,0,1,8,176,13.028409090909092
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,1,No,15,3,4,0,9,0,3,9,8,1,7,8,176,49.57954545454545
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,1,No,23,4,4,0,12,2,3,12,8,3,7,8,176,22.789772727272727
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,1,No,12,3,4,0,23,0,3,22,15,15,8,8,176,111.05113636363636
34,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,0,No,20,4,3,0,10,2,3,9,5,8,7,8,176,25.954545454545453
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,4,No,21,4,1,0,8,1,3,1,0,0,0,8,176,17.170454545454547
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,4,Yes,21,4,3,0,14,4,3,9,6,0,8,10,220,26.236363636363638
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,1,No,19,3,4,0,1,2,3,1,0,0,1,8,176,12.892045454545455
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,9,Yes,13,3,4,0,23,2,3,1,0,0,0,10,220,24.45909090909091
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,1,Yes,13,3,3,0,2,3,2,2,2,2,2,10,220,15.64090909090909
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5,Yes,21,4,3,1,9,2,2,4,3,1,3,10,220,24.79090909090909
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,2,Yes,13,3,3,1,10,3,3,4,0,2,3,10,220,44.92727272727273
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,7,Yes,19,3,3,1,5,2,2,2,2,0,0,10,220,18.895454545454545
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,1,Yes,12,3,3,0,15,1,3,15,14,8,12,10,220,61.17272727272727
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,1,No,22,4,4,1,9,3,2,9,8,1,8,8,176,51.52840909090909
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,3,Yes,15,3,3,1,4,3,3,2,2,2,2,10,220,18.245454545454546
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,3,No,22,4,4,1,10,3,2,7,7,1,7,8,176,33.60795454545455
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,1,No,18,3,3,1,7,2,4,7,5,0,7,8,176,34.05113636363637
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,1,Yes,22,4,2,1,9,3,3,9,8,7,8,10,220,28.009090909090908
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,1,No,11,3,4,0,10,2,3,10,3,9,9,8,176,13.670454545454545
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,5,Yes,12,3,4,1,29,2,2,27,3,13,8,10,220,85.18181818181819
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7,No,11,3,4,0,28,3,2,21,16,7,9,8,176,43.39204545454545
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,1,No,13,3,2,3,17,2,3,17,14,12,8,8,176,57.36363636363637
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,2,Yes,14,3,3,3,21,2,3,5,0,0,2,10,220,67.07272727272728
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,1,No,13,3,3,0,6,3,3,6,5,0,3,8,176,36.92613636363637
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,2,No,17,3,3,1,25,2,3,1,0,0,0,8,176,55.25
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,4,No,13,3,4,1,5,2,2,3,2,1,2,8,176,12.465909090909092
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,0,Yes,17,3,1,1,2,0,2,1,0,0,0,10,220,15.4
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,7,No,11,3,4,0,20,2,2,4,3,1,3,8,176,31.09659090909091
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,0,No,23,4,4,1,6,3,3,5,4,0,4,8,176,15.357954545454545
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,1,No,17,3,2,0,1,4,3,1,1,1,0,8,176,14.210227272727273
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,1,No,17,3,2,2,10,3,3,10,4,0,9,8,176,35.34090909090909
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3,No,12,3,2,0,5,3,3,1,0,0,0,8,176,17.261363636363637
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,1,No,23,4,4,0,11,2,3,11,7,1,8,8,176,25.136363636363637
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,0,No,14,3,2,0,16,2,3,15,13,2,8,8,176,24.5
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,4,Yes,14,3,2,0,17,3,4,0,0,0,0,10,220,60.20454545454545
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,4,No,13,3,1,0,16,3,4,5,2,0,2,8,176,77.63636363636364
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,8,Yes,22,4,4,1,16,2,3,4,2,0,2,10,220,22.822727272727274
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,1,Yes,12,3,3,2,10,1,2,10,8,3,0,10,220,23.3
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,1,No,18,3,1,0,6,3,3,6,4,0,4,8,176,16.244318181818183
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,3,No,14,3,4,1,24,4,3,1,0,1,0,8,176,58.17613636363637
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,7,Yes,12,3,4,3,17,3,3,13,11,1,9,10,220,24.222727272727273
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,1,No,15,3,3,0,5,2,3,5,2,1,3,8,176,24.573863636363637
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,4,No,11,3,1,0,37,3,2,6,4,0,2,8,176,41.25
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,3,No,13,3,3,1,3,3,3,0,0,0,0,8,176,13.193181818181818
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,3,No,23,4,2,2,10,4,3,4,2,0,3,8,176,11.789772727272727
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,1,No,19,3,1,3,11,3,3,11,10,10,8,8,176,23.59090909090909
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,1,No,16,3,4,0,9,3,3,9,8,4,7,8,176,54.65340909090909
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,1,No,22,4,4,1,22,3,2,22,3,11,11,8,176,76.7215909090909
51,No,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,0,Yes,22,4,4,0,11,2,1,10,7,1,0,10,220,24.73181818181818
30,No,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,1,Yes,12,3,2,3,11,4,2,11,8,2,7,10,220,23.677272727272726
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,2,Yes,13,3,3,1,21,5,2,10,9,9,5,10,220,48.513636363636365
32,No,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,1,No,16,3,1,0,12,0,3,11,8,5,7,8,176,28.46590909090909
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,9,No,12,3,1,1,16,5,1,4,3,0,3,8,176,76.98295454545455
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,0,No,21,4,1,1,4,2,2,3,2,0,2,8,176,28.40340909090909
28,No,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,1,No,15,3,2,0,5,3,4,5,4,0,4,8,176,23.982954545454547
58,No,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,0,No,13,3,3,0,38,1,2,37,10,1,8,8,176,78.81818181818181
44,No,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,4,No,12,3,3,1,17,3,4,3,2,1,2,8,176,11.602272727272727
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,4,Yes,22,4,4,0,7,3,3,3,2,0,2,10,220,9.422727272727272
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,1,No,13,3,4,0,1,2,3,1,0,0,0,8,176,16.795454545454547
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,1,Yes,18,3,2,0,1,5,3,1,0,1,0,10,220,13.3
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,1,No,14,3,3,0,16,3,3,16,13,2,10,8,176,27.323863636363637
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5,No,14,3,4,1,17,2,4,1,0,0,0,8,176,29.335227272727273
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,9,No,21,4,4,1,30,3,3,3,2,2,2,8,176,107.06818181818181
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,3,Yes,19,3,1,0,28,1,2,8,3,0,7,10,220,82.6
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,1,Yes,11,3,4,0,6,1,3,6,4,0,3,10,220,26.10909090909091
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,1,No,11,3,3,2,2,2,3,2,2,2,1,8,176,16.414772727272727
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,1,No,15,3,3,0,1,5,3,0,0,0,0,8,176,16.3125
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,3,No,20,4,3,0,23,1,2,13,12,12,8,8,176,42.52272727272727
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,1,Yes,24,4,4,0,9,3,3,9,7,0,6,10,220,27.60909090909091
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,2,Yes,12,3,3,0,23,3,3,5,3,4,4,10,220,78.76363636363637
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,0,No,12,3,3,1,6,2,3,5,3,1,2,8,176,15.761363636363637
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,6,No,15,3,3,1,12,3,3,1,0,0,0,8,176,25.59659090909091
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,2,No,12,3,1,0,12,3,3,5,3,1,3,8,176,42.20454545454545
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,2,No,12,3,4,0,14,6,3,11,10,5,8,8,176,66.08522727272727
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,0,No,14,3,3,1,10,6,3,9,7,2,8,8,176,55.32954545454545
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,5,No,22,4,1,1,7,2,3,1,0,0,0,8,176,16.107954545454547
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,1,Yes,12,3,4,2,25,3,4,25,12,4,12,10,220,77.08636363636364
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,1,No,25,4,3,3,10,2,2,10,7,0,9,8,176,14.846590909090908
33,No,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,0,No,13,3,1,1,8,2,4,7,7,0,7,8,176,34.92045454545455
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,9,Yes,18,3,1,3,7,2,3,5,4,4,3,10,220,22.55909090909091
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,7,No,13,3,3,0,23,5,3,20,18,15,15,8,176,111.00568181818181
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,4,Yes,18,3,2,0,12,3,2,7,7,7,7,10,220,28.054545454545455
26,No,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,1,No,19,3,3,0,5,3,2,5,4,4,3,8,176,13.454545454545455
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,1,No,12,3,4,1,40,3,2,40,10,15,6,8,176,58.59090909090909
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1,Yes,19,3,4,0,0,2,2,0,0,0,0,10,220,7.613636363636363
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,0,No,14,3,3,1,3,2,3,2,1,2,1,8,176,14.335227272727273
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,1,No,14,3,3,0,16,2,2,15,11,5,11,8,176,37.3125
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,4,No,12,3,4,0,18,2,3,3,2,1,2,8,176,26.926136363636363
50,No,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,4,No,11,3,4,0,16,3,3,2,2,2,1,8,176,52.31818181818182
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,3,Yes,11,3,3,1,4,2,3,2,2,2,2,10,220,20.722727272727273
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,3,Yes,13,3,3,1,12,2,3,9,7,0,7,10,220,37.222727272727276
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,1,No,23,4,4,1,8,3,3,8,7,5,7,8,176,16.71590909090909
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,6,No,20,4,4,2,7,0,3,3,2,0,1,8,176,28.073863636363637
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,2,No,15,3,4,0,18,2,3,4,2,0,3,8,176,60.51136363636363
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,4,No,14,3,3,1,17,1,4,15,11,5,9,8,176,33.53409090909091
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,Male,41,2,2,Sales Executive,3,Married,2,No,18,3,4,0,6,3,3,2,2,2,2,8,176,49.08522727272727
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,3,Male,48,3,2,Human Resources,4,Married,0,Yes,19,3,4,0,12,2,1,11,9,4,7,10,220,28.85
32,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,1,Female,41,3,1,Laboratory Technician,1,Single,7,No,22,4,1,0,10,2,4,5,4,0,4,8,176,23.863636363636363
45,No,Travel_Rarely,1316,Research & Development,29,3,Medical,3,Male,83,3,1,Research Scientist,4,Single,5,No,13,3,2,0,9,2,2,6,5,0,3,8,176,19.613636363636363
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,4,Female,32,3,2,Research Scientist,3,Single,3,Yes,20,4,2,0,19,2,3,3,2,2,2,10,220,19.62272727272727
30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,Female,75,3,1,Research Scientist,3,Single,1,No,14,3,3,0,5,4,2,5,4,0,4,8,176,14.954545454545455
32,No,Travel_Frequently,689,Sales,9,2,Medical,4,Male,35,1,2,Sales Executive,4,Divorced,0,No,17,3,4,3,9,2,4,8,7,0,7,8,176,26.522727272727273
