Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyHours,MonthlyWorkingHours,Salary_per_hour,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,Attrition_Probability,Risk_Level
35,809,16,3,1,84,4,1,2,0,13,3,3,1,6,5,3,5,4,0,3,8,176,13.784090909090908,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.2919121673303863,Low Risk
29,153,15,2,4,49,2,2,3,0,12,3,4,0,10,3,3,9,5,0,8,10,220,19.05909090909091,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,0.7106568795369991,High Risk
31,670,26,1,1,31,3,1,3,1,17,3,4,1,5,1,2,5,2,4,3,8,176,16.539772727272727,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.374232410936432,Medium Risk
34,1346,19,2,2,93,3,1,4,0,11,3,3,1,3,2,3,2,2,1,2,8,176,15.119318181818182,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,0.24971405585214906,Low Risk
28,103,24,3,3,50,2,1,3,5,14,3,2,0,6,4,3,4,2,0,3,10,220,9.21818181818182,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,0.9733792356118708,High Risk
29,1389,21,4,2,51,4,3,1,1,11,3,3,1,10,1,3,10,9,8,8,8,176,56.70454545454545,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.23268430657594566,Low Risk
32,334,5,2,1,80,4,1,2,0,12,3,4,2,7,5,2,6,2,0,5,10,220,14.99090909090909,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.213040784186095,Low Risk
22,1123,16,2,4,96,4,1,4,1,13,3,2,2,1,2,2,1,0,0,0,10,220,13.340909090909092,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,0.34519061417081853,Medium Risk
53,1219,2,4,1,78,2,4,4,2,16,3,3,0,31,3,3,25,8,3,7,8,176,87.6534090909091,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.025562791373840953,Low Risk
38,371,2,3,4,45,3,1,4,5,11,3,3,0,6,3,3,3,2,1,2,10,220,17.927272727272726,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,0.5369884706109482,Medium Risk
24,673,11,2,1,96,4,2,3,0,18,3,4,1,5,5,2,4,2,1,3,8,176,22.789772727272727,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.00830067323797492,Low Risk
36,1218,9,4,3,82,2,1,1,7,23,4,2,0,10,4,3,5,3,0,3,8,176,19.357954545454547,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0.8104894793158319,High Risk
34,419,7,4,1,53,3,3,2,0,11,3,3,0,13,4,3,12,6,2,11,8,176,68.14772727272727,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.02343294639057722,Low Risk
21,391,15,2,3,96,3,1,4,1,14,3,4,0,0,6,3,0,0,0,0,8,176,7.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.2190490714207001,Low Risk
34,699,6,1,2,83,3,1,1,2,11,3,3,0,8,2,3,4,2,1,3,8,176,16.818181818181817,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.4066498168137666,Medium Risk
53,1282,5,3,3,58,3,5,3,4,11,3,4,1,26,3,2,14,13,4,8,8,176,108.48863636363636,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.006689474506130089,Low Risk
32,1125,16,1,2,72,1,1,1,1,22,4,2,0,10,5,3,10,2,6,7,10,220,17.813636363636363,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,0.9135720370548807,High Risk
42,691,8,4,3,48,3,2,2,0,11,3,4,1,10,2,3,9,7,4,2,8,176,38.77840909090909,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0.24191278243625502,Low Risk
44,477,7,4,1,42,2,3,4,3,14,3,4,1,24,4,3,22,6,5,17,8,176,58.22727272727273,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.01771416234071951,Low Risk
46,705,2,4,2,83,3,5,1,3,12,3,4,0,22,2,2,2,2,2,1,8,176,107.6534090909091,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.4828548876670992,Medium Risk
33,924,2,3,3,78,3,1,4,4,11,3,4,0,7,3,3,1,1,0,0,8,176,14.181818181818182,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.3868068744639525,Medium Risk
44,1459,10,4,4,41,3,2,4,2,13,3,4,0,9,5,4,4,2,1,3,10,220,29.38636363636364,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,0.023953455789774182,Low Risk
30,125,9,2,4,83,2,1,3,1,13,3,1,0,10,5,3,10,0,1,8,8,176,12.534090909090908,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.4351901931670855,Medium Risk
39,895,5,3,4,56,3,2,4,3,14,3,3,1,19,6,4,1,0,0,0,8,176,11.852272727272728,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,0.14110467974273505,Low Risk
24,813,1,3,2,61,3,1,4,2,16,3,1,1,6,2,2,2,0,2,0,10,220,10.422727272727272,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,0.6869670638823421,High Risk
43,1273,2,2,4,72,4,1,3,1,12,3,4,2,6,3,2,5,3,1,4,8,176,15.028409090909092,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.006422013484659743,Low Risk
50,869,3,2,1,86,2,1,3,1,14,3,3,0,3,2,3,3,2,0,2,10,220,12.195454545454544,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,0.9017069016131096,High Risk
35,890,2,3,4,97,3,1,4,1,13,3,1,0,2,3,3,2,2,2,2,8,176,11.443181818181818,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0.34990393251627655,Medium Risk
36,852,5,4,2,82,2,1,1,9,14,3,4,1,6,3,4,1,1,0,0,10,220,15.540909090909093,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,0.7616016632997273,High Risk
33,1141,1,3,3,42,4,2,1,2,19,3,1,2,10,3,3,5,3,1,3,8,176,30.545454545454547,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.1621697296716519,Low Risk
35,464,4,2,3,75,3,1,4,1,12,3,3,1,1,3,3,1,0,0,0,8,176,11.085227272727272,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,0.12062475094696581,Low Risk
27,1240,2,4,4,33,3,1,1,1,13,3,4,1,1,6,3,1,0,0,0,8,176,13.301136363636363,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.14502536846823244,Low Risk
26,1357,25,3,1,48,1,1,3,1,12,3,3,0,1,2,2,1,0,0,1,8,176,13.028409090909092,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.9474819752751542,High Risk
27,994,8,3,4,37,3,3,3,1,15,3,4,0,9,0,3,9,8,1,7,8,176,49.57954545454545,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.34000072071333054,Medium Risk
30,721,1,2,3,58,3,2,4,1,23,4,4,0,12,2,3,12,8,3,7,8,176,22.789772727272727,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.2736092409253787,Low Risk
41,1360,12,3,2,49,3,5,3,1,12,3,4,0,23,0,3,22,15,15,8,8,176,111.05113636363636,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,0.10778639949252156,Low Risk
34,1065,23,4,2,72,3,2,3,0,20,4,3,0,10,2,3,9,5,8,7,8,176,25.954545454545453,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.33309126364130004,Medium Risk
37,408,19,2,2,73,3,1,2,4,21,4,1,0,8,1,3,1,0,0,0,8,176,17.170454545454547,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.5544208498106302,Medium Risk
46,1211,5,4,1,98,3,2,4,4,21,4,3,0,14,4,3,9,6,0,8,10,220,26.23636363636364,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,0.5712983207015712,Medium Risk
35,1229,8,1,4,36,4,1,4,1,19,3,4,0,1,2,3,1,0,0,1,8,176,12.892045454545457,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.08800056708686174,Low Risk
48,626,1,2,1,98,2,3,3,9,13,3,4,0,23,2,3,1,0,0,0,10,220,24.45909090909091,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,0.9562059283414764,High Risk
28,1434,5,4,3,50,3,1,3,1,13,3,3,0,2,3,2,2,2,2,2,10,220,15.64090909090909,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,0.9252368251907402,High Risk
44,1488,1,5,2,75,3,2,1,5,21,4,3,1,9,2,2,4,3,1,3,10,220,24.79090909090909,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.6289034242037591,High Risk
35,1097,11,2,3,79,2,3,1,2,13,3,3,1,10,3,3,4,0,2,3,10,220,44.92727272727273,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,0.3757342262320184,Medium Risk
26,1443,23,3,3,47,2,2,4,7,19,3,3,1,5,2,2,2,2,0,0,10,220,18.895454545454545,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,0.8804854191680582,High Risk
33,515,1,2,1,98,3,3,4,1,12,3,3,0,15,1,3,15,14,8,12,10,220,61.17272727272727,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,0.1575703533537695,Low Risk
35,853,18,5,2,71,3,3,1,1,22,4,4,1,9,3,2,9,8,1,8,8,176,51.52840909090909,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0.4789190186298369,Medium Risk
35,1142,23,4,3,30,3,1,1,3,15,3,3,1,4,3,3,2,2,2,2,10,220,18.245454545454542,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,0.8843064182524101,High Risk
31,655,7,4,4,48,3,2,4,3,22,4,4,1,10,3,2,7,7,1,7,8,176,33.60795454545455,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,0.08182510441475806,Low Risk
37,1115,1,4,1,51,2,2,3,1,18,3,3,1,7,2,4,7,5,0,7,8,176,34.05113636363637,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.0312355793357509,Low Risk
32,427,1,3,1,33,3,2,4,1,22,4,2,1,9,3,3,9,8,7,8,10,220,28.009090909090908,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,0.4444218133636755,Medium Risk
38,653,29,5,4,50,3,2,4,1,11,3,4,0,10,2,3,10,3,9,9,8,176,13.670454545454543,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.73918459557559,High Risk
50,989,7,2,2,43,2,5,3,5,12,3,4,1,29,2,2,27,3,13,8,10,220,85.18181818181819,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.38975699093261873,Medium Risk
59,1435,25,3,1,99,3,3,1,7,11,3,4,0,28,3,2,21,16,7,9,8,176,43.39204545454545,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.46807313548388885,Medium Risk
36,1223,8,3,3,59,3,3,3,1,13,3,2,3,17,2,3,17,14,12,8,8,176,57.36363636363637,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.05440875669600175,Low Risk
55,836,8,3,4,33,3,4,3,2,14,3,3,3,21,2,3,5,0,0,2,10,220,67.07272727272728,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.04688778607701511,Low Risk
36,1195,11,3,2,95,2,2,2,1,13,3,3,0,6,3,3,6,5,0,3,8,176,36.92613636363637,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.4398953116094752,Medium Risk
45,1339,7,3,2,59,3,3,1,2,17,3,3,1,25,2,3,1,0,0,0,8,176,55.25,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.060615048291330395,Low Risk
35,664,1,3,2,79,3,1,1,4,13,3,4,1,5,2,2,3,2,1,2,8,176,12.465909090909092,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.5045854032459454,Medium Risk
36,318,9,3,4,79,2,1,3,0,17,3,1,1,2,0,2,1,0,0,0,10,220,15.4,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,0.6842335977367188,High Risk
59,1225,1,1,1,57,2,2,3,7,11,3,4,0,20,2,2,4,3,1,3,8,176,31.09659090909091,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.4380190043389724,Medium Risk
29,1328,2,3,3,76,3,1,2,0,23,4,4,1,6,3,3,5,4,0,4,8,176,15.357954545454543,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.024621349402625073,Low Risk
31,1082,1,4,3,87,3,1,2,1,17,3,2,0,1,4,3,1,1,1,0,8,176,14.210227272727272,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.2490177069932513,Low Risk
32,548,1,3,2,66,3,2,2,1,17,3,2,2,10,3,3,10,4,0,9,8,176,35.34090909090909,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.05927624188083884,Low Risk
36,132,6,3,2,55,4,1,4,3,12,3,2,0,5,3,3,1,0,0,0,8,176,17.261363636363637,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.40479825214739923,Medium Risk
31,746,8,4,3,61,3,2,4,1,23,4,4,0,11,2,3,11,7,1,8,8,176,25.13636363636364,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.027951575659618366,Low Risk
35,776,1,4,3,32,2,2,1,0,14,3,2,0,16,2,3,15,13,2,8,8,176,24.5,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.25268576843675455,Low Risk
45,193,6,4,4,52,3,3,1,4,14,3,2,0,17,3,4,0,0,0,0,10,220,60.20454545454545,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,0.056479968640782745,Low Risk
37,397,7,4,1,30,3,3,3,4,13,3,1,0,16,3,4,5,2,0,2,8,176,77.63636363636364,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0.0945908611905164,Low Risk
46,945,5,2,2,80,3,2,2,8,22,4,4,1,16,2,3,4,2,0,2,10,220,22.822727272727278,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,0.5452294488014489,Medium Risk
30,852,1,1,4,55,2,2,4,1,12,3,3,2,10,1,2,10,8,3,0,10,220,23.3,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,0.752649276303937,High Risk
35,1214,1,3,2,30,2,1,3,1,18,3,1,0,6,3,3,6,4,0,4,8,176,16.244318181818183,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.18370074393602848,Low Risk
55,111,1,2,1,70,3,3,4,3,14,3,4,1,24,4,3,1,0,1,0,8,176,58.17613636363637,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0.08518940913848556,Low Risk
38,573,6,3,2,79,1,2,4,7,12,3,4,3,17,3,3,13,11,1,9,10,220,24.222727272727276,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.06003442801186659,Low Risk
34,1153,1,2,1,94,3,2,2,1,15,3,3,0,5,2,3,5,2,1,3,8,176,24.57386363636364,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0.19674102456065745,Low Risk
56,1400,7,3,4,49,1,3,4,4,11,3,1,0,37,3,2,6,4,0,2,8,176,41.25,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.03879144789396178,Low Risk
23,541,2,1,3,62,3,1,1,3,13,3,3,1,3,3,3,0,0,0,0,8,176,13.193181818181818,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,0.7892379546513562,High Risk
51,432,9,4,4,96,3,1,4,3,23,4,2,2,10,4,3,4,2,0,3,8,176,11.789772727272728,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.056363453087585405,Low Risk
30,288,2,3,3,99,2,2,4,1,19,3,1,3,11,3,3,11,10,10,8,8,176,23.59090909090909,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.04885895978789562,Low Risk
46,669,9,2,3,64,2,3,4,1,16,3,4,0,9,3,3,9,8,4,7,8,176,54.65340909090909,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.2154759362536915,Low Risk
40,530,1,4,3,78,2,4,2,1,22,4,4,1,22,3,2,22,3,11,11,8,176,76.7215909090909,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.3025728861885233,Medium Risk
51,632,21,4,3,71,3,2,4,0,22,4,4,0,11,2,1,10,7,1,0,10,220,24.73181818181818,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,0.729521309531522,High Risk
30,1334,4,2,3,63,2,2,2,1,12,3,2,3,11,4,2,11,8,2,7,10,220,23.67727272727273,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.263686864343511,Low Risk
46,638,1,3,3,40,2,3,1,2,13,3,3,1,21,5,2,10,9,9,5,10,220,48.513636363636365,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,0.6481931564874838,High Risk
32,1093,6,4,2,87,3,2,3,1,16,3,1,0,12,0,3,11,8,5,7,8,176,28.46590909090909,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.40891051223460684,Medium Risk
54,1217,2,4,1,60,3,3,3,9,12,3,1,1,16,5,1,4,3,0,3,8,176,76.98295454545455,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,0.06416802475367271,Low Risk
24,1353,3,2,1,33,3,2,3,0,21,4,1,1,4,2,2,3,2,0,2,8,176,28.40340909090909,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,0.2169242335175383,Low Risk
28,120,4,3,2,43,3,2,3,1,15,3,2,0,5,3,4,5,4,0,4,8,176,23.982954545454547,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0.11458022929523601,Low Risk
58,682,10,4,4,37,3,4,3,0,13,3,3,0,38,1,2,37,10,1,8,8,176,78.81818181818181,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.07050903732915018,Low Risk
44,489,23,3,2,67,3,2,2,4,12,3,3,1,17,3,4,3,2,1,2,8,176,11.602272727272728,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.2615689758998242,Low Risk
37,807,6,4,3,63,3,1,1,4,22,4,4,0,7,3,3,3,2,0,2,10,220,9.422727272727272,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,0.7551638689264583,High Risk
32,827,1,1,4,71,3,1,1,1,13,3,4,0,1,2,3,1,0,0,0,8,176,16.795454545454547,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.24256421405476297,Low Risk
20,871,6,3,4,66,2,1,4,1,18,3,2,0,1,5,3,1,0,1,0,10,220,13.3,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,0.8903770554559552,High Risk
34,665,6,4,1,41,3,2,3,1,14,3,3,0,16,3,3,16,13,2,10,8,176,27.32386363636364,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.039950329832772934,Low Risk
37,1040,2,2,3,100,2,2,4,5,14,3,4,1,17,2,4,1,0,0,0,8,176,29.335227272727277,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.005090340520248846,Low Risk
59,1420,2,4,3,32,2,5,4,9,21,4,4,1,30,3,3,3,2,2,2,8,176,107.0681818181818,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.013608134475342192,Low Risk
50,1115,1,3,1,73,3,5,2,3,19,3,1,0,28,1,2,8,3,0,7,10,220,82.6,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,0.13978986626139367,Low Risk
25,240,5,3,3,46,2,2,3,1,11,3,4,0,6,1,3,6,4,0,3,10,220,26.10909090909091,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,0.8866949548399649,High Risk
25,1280,7,1,4,64,2,1,4,1,11,3,3,2,2,2,3,2,2,2,1,8,176,16.414772727272727,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.09719481441608495,Low Risk
22,534,15,3,2,59,3,1,4,1,15,3,3,0,1,5,3,0,0,0,0,8,176,16.3125,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.6037747657500169,High Risk
51,1456,1,4,1,30,2,3,1,3,20,4,3,0,23,1,2,13,12,12,8,8,176,42.52272727272727,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5406063388632667,Medium Risk
34,658,7,3,1,66,1,2,3,1,24,4,4,0,9,3,3,9,7,0,6,10,220,27.60909090909091,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,0.9389634729274715,High Risk
54,142,26,3,4,30,4,4,4,2,12,3,3,0,23,3,3,5,3,4,4,10,220,78.76363636363637,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,0.13525731583708975,Low Risk
24,1127,18,1,2,52,3,1,3,0,12,3,3,1,6,2,3,5,3,1,2,8,176,15.761363636363637,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.44657500484005086,Medium Risk
34,1031,6,4,3,45,2,2,2,6,15,3,3,1,12,3,3,1,0,0,0,8,176,25.59659090909091,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.1748487999070942,Low Risk
37,1189,3,3,3,87,3,3,4,2,12,3,1,0,12,3,3,5,3,1,3,8,176,42.20454545454545,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.2734604186849435,Low Risk
34,1354,5,3,3,45,2,3,1,2,12,3,4,0,14,6,3,11,10,5,8,8,176,66.08522727272727,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.08768748386628283,Low Risk
